gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACBD7,606.3675693715486,-0.3933609506815662,0.07957610573106533,-4.9755826315876,6.505167655791046e-07,1.9726186621685288e-06
ACCS,584.7714434537044,0.09579448167789877,0.09672170234815398,0.988810469278813,0.32275588102977415,0.409640806821698
ACD,1702.5672657337132,0.5002655960704647,0.0664285652496683,7.558120271399551,4.089358444106628e-14,1.9784291293266017e-13
ACE,66.84453638611735,-0.4601603857658263,0.32100120042427527,-1.595194039257047,0.11066885129985367,0.16206790929614232
ACE2,1.2259337344852177,0.07370640551016637,0.6829190849582921,0.26952099561940907,0.7875287876204086,
ACER2,14.986519102387295,-0.6076816588125665,0.47574972497758655,-1.603565658131844,0.10880982561237539,0.15971283606346173
ACER3,731.4291254880251,-0.07496901337342093,0.0711494869150991,-1.0571163456973998,0.290458492124651,0.3752315412018562
ACHE,42.842111731928114,0.23456025071001038,0.292056519090283,0.8730192903378353,0.38265256337999565,0.4718126756941336
ACIN1,12004.650832814834,-0.24005095806062254,0.04338064795961264,-5.493238125666195,3.946301107301006e-08,1.317116265986792e-07
ACLY,10624.477258420025,0.0807466737473419,0.03133099189843748,2.5821492801856967,0.00981871036259276,0.018092661824657207
ACN9,909.8786234247845,-0.2318564879086836,0.09198428356346489,-2.546034033218349,0.010895456526552782,0.019922226482842115
ACO1,1069.0632769566594,0.4934311332764389,0.0616086142607872,8.045162662533032,8.61309420073184e-16,4.514146209846845e-15
ACO2,1888.0492580214434,-0.0742456147829949,0.05441077692355738,-1.3542503681257376,0.17565651465134768,0.24308161569340123
ACOT1,187.5974456700405,-0.34286531761221944,0.14071044494954554,-2.4848189465845314,0.012961733858234738,0.023333173243782212
ACOT11,192.6553206520045,1.4151823497746172,0.14343669313650315,10.006895873546572,1.4214257864792154e-23,1.034514597320058e-22
ACOT13,954.42437280903,-0.299006438402191,0.07167227181073531,-4.193695836125621,2.7444592623676732e-05,7.13317408215321e-05
ACOT2,612.028719529047,-0.15190862150760848,0.07765848437770038,-1.9667570889674022,0.04921122180502159,0.07877853942175689
ACOT4,97.43633161843132,0.4727886201360306,0.18224355477062848,2.6806204690851265,0.007348580840624172,0.01384392960589596
ACOT6,1.448227803541082,0.2325548806657537,0.7168937999658045,0.7936013076508434,0.4274275709617108,
